task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	35/088778	38321929	assign_grnas (7)	COMPLETED	0	2025-10-20 00:05:38.048	9.1s	3.8s	81.8%	295 MB	974.1 MB	43.9 MB	67.4 KB
13	18/30780a	38321932	combine_assign_grnas	COMPLETED	0	2025-10-20 00:05:47.263	19.8s	13.4s	82.9%	555.9 MB	1.4 GB	47 MB	27.8 MB
14	12/4afb82	38321933	run_qc_trans	COMPLETED	0	2025-10-20 00:06:07.256	14.8s	12.2s	84.2%	463.1 MB	1.2 GB	47.5 MB	12.5 MB
15	c6/cacbf8	38321935	prepare_association_analysis_trans	COMPLETED	0	2025-10-20 00:06:22.253	9.8s	3.3s	82.1%	284.3 MB	1021.9 MB	30.7 MB	40.7 KB
257	ce/aae1a4	38322181	run_discovery_analysis_trans (242)	COMPLETED	0	2025-10-20 00:07:19.869	1h 11m 17s	1h 11m 9s	98.6%	921.4 MB	1.7 GB	42.9 MB	730.8 KB
20	bf/bb4f8e	38321940	run_discovery_analysis_trans (5)	COMPLETED	0	2025-10-20 00:06:32.940	1h 12m 4s	1h 11m 59s	98.7%	911.6 MB	1.7 GB	43.1 MB	743.7 KB
25	db/534d6e	38321944	run_discovery_analysis_trans (10)	COMPLETED	0	2025-10-20 00:06:33.566	1h 12m 24s	1h 12m 19s	98.8%	920.9 MB	1.7 GB	43.9 MB	759.8 KB
355	33/1b4fdb	38322276	run_discovery_analysis_trans (340)	COMPLETED	0	2025-10-20 00:07:38.868	1h 11m 23s	1h 10m 23s	99.2%	906.4 MB	1.7 GB	42.4 MB	720.2 KB
45	2e/00ab94	38321966	run_discovery_analysis_trans (30)	COMPLETED	0	2025-10-20 00:06:37.265	1h 12m 40s	1h 10m 53s	97.4%	911.8 MB	1.7 GB	43.9 MB	756.6 KB
48	77/3548a8	38321968	run_discovery_analysis_trans (33)	COMPLETED	0	2025-10-20 00:06:37.667	1h 12m 40s	1h 12m 35s	99.1%	908.4 MB	1.7 GB	42.7 MB	757.8 KB
314	29/72f4be	38322236	run_discovery_analysis_trans (299)	COMPLETED	0	2025-10-20 00:07:30.869	1h 12m 56s	1h 12m 49s	98.7%	920.7 MB	1.7 GB	43.1 MB	751.2 KB
105	56/f53b6f	38322026	run_discovery_analysis_trans (90)	COMPLETED	0	2025-10-20 00:06:49.069	1h 13m 43s	1h 13m 34s	99.1%	910.2 MB	1.7 GB	44.4 MB	781.5 KB
281	0f/a44380	38322204	run_discovery_analysis_trans (266)	COMPLETED	0	2025-10-20 00:07:24.471	1h 13m 8s	1h 13m 1s	98.9%	912.2 MB	1.7 GB	43.2 MB	757.7 KB
87	90/24a9f5	38322007	run_discovery_analysis_trans (72)	COMPLETED	0	2025-10-20 00:06:45.710	1h 14m 7s	1h 14m	98.7%	901.6 MB	1.7 GB	42.3 MB	754.4 KB
256	37/a20d3a	38322177	run_discovery_analysis_trans (241)	COMPLETED	0	2025-10-20 00:07:19.075	1h 13m 38s	1h 13m 34s	98.8%	916.6 MB	1.7 GB	42.9 MB	776.1 KB
